Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-Dec-05,1738.7,1738.7,1687,1692.6,1699.245605,142819,4682,242684558,58386,40.88,51.7,-46.1
21-Dec-05,1695,1711,1675,1686.25,1693.172685,108475,3521,183666907,33263,30.66,36,-8.75
22-Dec-05,1695,1700,1680,1683.65,1688.653411,80014,2600,135115914,16873,21.09,20,-11.35
23-Dec-05,1690,1705,1661.55,1671.8,1681.329314,112546,3126,189226889,40321,35.83,43.45,-18.2
26-Dec-05,1675,1675,1655.15,1662.75,1663.142683,53426,2135,88855061,18731,35.06,19.85,-12.25
27-Dec-05,1651,1704,1650,1700.35,1682.794986,68093,2431,114586559,22269,32.7,54,49.35
28-Dec-05,1694,1710,1681.05,1689.15,1697.883735,81194,2834,137857972,18087,22.28,28.95,-4.85
29-Dec-05,1696,1711,1684.05,1703.7,1698.574125,55420,1972,94134978,10016,18.07,26.95,7.7
30-Dec-05,1700,1711.9,1690.65,1702.45,1702.503661,81128,2455,138120717,34775,42.86,21.25,2.45
2-Jan-06,1707,1712,1685.1,1689.9,1697.259522,44501,1893,75529746,10225,22.98,26.9,-17.1
3-Jan-06,1685,1738.9,1685,1731.5,1716.073492,117060,3828,200883563,26328,22.49,53.9,46.5
4-Jan-06,1734.7,1749,1722,1744.25,1737.15755,136712,3965,237490283,54029,39.52,27,9.55
5-Jan-06,1744,1744,1722,1725.9,1729.168042,79611,2371,137660797,23142,29.07,22,-18.1
6-Jan-06,1727,1736.8,1699,1705.25,1713.242166,82014,2577,140509843,23110,28.18,37.8,-21.75
9-Jan-06,1710.15,1723,1684.15,1691.65,1699.391739,128925,2802,219094080,67371,52.26,38.85,-18.5
10-Jan-06,1692,1699.7,1660,1671.65,1676.981647,141611,3487,237479048,77067,54.42,39.7,-20.35
12-Jan-06,1667,1693.9,1618,1678.25,1658.039294,569346,16686,943998040,71611,12.58,75.9,11.25
13-Jan-06,1674.8,1691.4,1641,1651.05,1669.234351,150701,5304,251555286,38717,25.69,50.4,-23.75
16-Jan-06,1651,1651,1603,1608.25,1630.684761,148865,4842,242751887,64182,43.11,48,-42.75
17-Jan-06,1615,1640,1610.25,1623.35,1624.979023,129855,4908,211011651,27078,20.85,29.75,8.35
18-Jan-06,1618,1624,1605.1,1619.05,1614.605537,119304,4044,192628899,25818,21.64,18.9,1.05
19-Jan-06,1633,1654.9,1630,1650.3,1645.943526,129563,2934,213253381,65809,50.79,24.9,17.3
20-Jan-06,1660,1669.9,1636,1641.15,1652.346756,100800,2656,166556553,35172,34.89,33.9,-18.85
23-Jan-06,1634,1635,1611.3,1621.95,1623.048213,85350,2783,138527165,25135,29.45,23.7,-12.05
24-Jan-06,1638,1647.5,1632,1642.45,1639.519423,65619,1923,107583625,31270,47.65,15.5,4.45
25-Jan-06,1650,1658,1644.85,1650.4,1650.240507,196813,2051,324788785,152071,77.27,13.15,0.4
27-Jan-06,1664,1665,1654.05,1661.6,1659.79928,66396,2211,110204033,36253,54.6,10.95,-2.4
30-Jan-06,1665,1678,1652,1660.7,1663.081488,38705,1558,64369569,11142,28.79,26,-4.3
31-Jan-06,1652.1,1679.8,1652.1,1670.1,1670.561935,57318,2037,95753269,18311,31.95,27.7,18
1-Feb-06,1671,1676,1658.5,1666.3,1667.123337,81184,1789,135343741,44160,54.39,17.5,-4.7
2-Feb-06,1672,1676,1626,1635.6,1659.514261,108867,2091,180666339,58341,53.59,50,-36.4
3-Feb-06,1650,1650,1612,1631.15,1626.872498,186617,3067,303602065,123567,66.21,38,-18.85
6-Feb-06,1632,1685.05,1624.15,1679.6,1663.410505,92318,2790,153562731,44285,47.97,60.9,47.6
7-Feb-06,1685,1692,1646,1672.4,1671.453762,127849,3309,213693692,48531,37.96,46,-12.6
8-Feb-06,1675,1685,1655.5,1666.1,1662.805462,77954,2217,129622337,18212,23.36,29.5,-8.9
10-Feb-06,1672.1,1675,1653,1669.35,1665.612086,43703,2121,72792245,10970,25.1,22,-2.75
13-Feb-06,1680,1680,1649,1650.2,1654.869788,73119,2038,121002424,35198,48.14,31,-29.8
14-Feb-06,1655,1660,1612,1618.85,1627.277545,197568,3867,321497970,87996,44.54,48,-36.15
15-Feb-06,1655,1655,1607,1618.95,1620.161433,98177,3095,159062589,28772,29.31,48,-36.05
16-Feb-06,1624.95,1634,1614,1623.7,1624.755654,90601,2602,147204487,31376,34.63,20,-1.25
17-Feb-06,1630,1655.25,1620,1624.15,1636.60489,145653,3422,238376412,65582,45.03,35.25,-5.85
20-Feb-06,1635,1648,1627.05,1644.75,1638.150326,87091,3030,142668150,28893,33.18,20.95,9.75
21-Feb-06,1658,1665,1648,1660.65,1658.806573,51937,2281,86153437,16954,32.64,17,2.65
22-Feb-06,1662,1669.7,1651.2,1660.1,1661.63174,47996,1643,79751677,20227,42.14,18.5,-1.9
23-Feb-06,1660.1,1690.9,1660.1,1669.4,1677.488756,118777,3614,199247082,44774,37.7,30.8,9.3
24-Feb-06,1678,1679,1656.1,1667.85,1665.91447,41845,1588,69710191,15335,36.65,22.9,-10.15
27-Feb-06,1670,1696,1668.2,1690.5,1685.82439,79073,2846,133303192,44044,55.7,27.8,20.5
28-Feb-06,1653.3,1700,1653.3,1694.85,1689.018936,94316,3028,159301510,39140,41.5,46.7,41.55
1-Mar-06,1690.55,1748,1682.1,1740.4,1724.573128,229432,5809,395672262,121092,52.78,65.9,49.85
2-Mar-06,1740,1753.3,1720,1742,1743.439038,125636,3767,219038707,62355,49.63,33.3,2
3-Mar-06,1750,1751,1705,1714.3,1720.366528,72742,3198,125142902,14826,20.38,46,-35.7
6-Mar-06,1715,1755,1715,1744.5,1738.496879,89559,3138,155698042,41684,46.54,40,29.5
7-Mar-06,1749,1758,1717.25,1722.75,1733.739776,103338,3129,179161201,24677,23.88,40.75,-26.25
